0.237599,1.060259
0.600311,1.089778
1.361747,1.095834
0.759341,1.107078
0.702266,1.128053
0.353855,1.135341
0.606595,1.136800
0.651956,1.138902
0.899089,1.162111
0.757637,1.164890
0.244733,1.185762
1.419310,1.205118
1.227014,1.204259
0.583971,1.200885
0.701321,1.221023
1.509093,1.223399
1.142769,1.223802
1.651506,1.231857
0.643081,1.253246
1.262589,1.268422
0.547039,1.290197
0.814592,1.297003
1.747331,1.297675
0.836075,1.314064
1.497461,1.326807
1.071854,1.346001
1.674620,1.349515
1.349063,1.353120
1.580525,1.366226
0.796803,1.367294
1.753144,1.372060
0.759283,1.390306
1.765084,1.398210
1.166570,1.409985
1.611188,1.418392
2.093417,1.433851
1.307812,1.443810
1.511848,1.463649
1.904108,1.481480
1.412291,1.495342
1.193718,1.524911
1.222993,1.554438
2.113661,1.572818
1.281620,1.593080
2.083228,1.610375
2.056782,1.635540
1.165639,1.675597
1.045674,1.697060
2.167502,1.710524
1.337444,1.741713
1.243557,1.775125
1.634622,1.792805
2.344074,1.814351
2.057556,1.820066
2.444269,1.847166
1.664560,1.869649
1.334591,1.897330
2.231855,1.921966
2.053155,1.937882
2.459271,1.972835
1.556853,1.999606
1.569393,2.030690
2.165725,2.053913
1.433484,2.078624
1.672307,2.088596
2.558063,2.114698
1.911998,2.122229
2.187104,2.142970
1.981672,2.166635
2.485085,2.192338
2.130990,2.202800
1.988991,2.214857
2.609940,2.242004
1.729695,2.270397
2.772052,2.294850
2.420727,2.314032
1.893199,2.336824
2.070302,2.363498
2.109725,2.379192
2.519216,2.404517
3.048746,2.418154
2.921680,2.437589
2.169547,2.458533
2.767159,2.489035
3.040158,2.502345
2.746732,2.522804
2.650961,2.549103
2.051580,2.581487
2.540050,2.589283
2.836445,2.609248
2.484666,2.615231
2.539144,2.640001
2.861450,2.676556
3.282728,2.685832
3.371456,2.706493
3.247742,2.715437
3.300249,2.739913
3.078809,2.765417
2.278548,2.791337
2.623961,2.823570
2.280300,2.853472
2.211130,2.873552
3.421685,2.891383
2.965739,2.910684
2.343519,2.934014
2.937431,2.958907
